Time [ms],Intensity
1051749,1998064
1052164,1087865
1052580,312021
1052995,110509
1053411,81679
1053827,82113
1054242,88772
1054658,98236
1055073,103632
1055489,102185
1055905,92239
1056320,76531
1056736,62915
1057150,54483
1057567,52086
1057983,54806
1058398,58144
1058813,58587
1059229,54901
1059645,53127
1060061,62506
1060476,95706
1060892,165616
1061307,277063
1061723,410534
1062139,526414
1062554,579524
1062970,555550
1063385,469886
1063801,350675
1064217,243851
1064631,164384
1065048,119763
1065463,99239
1065879,91155
1066294,87252
1066710,83084
1067126,79634
1067541,77065
1067956,75301
1068373,73490
1068788,74014
1069204,74880
1069619,74176
1070035,70278
1070451,62112
1070866,53045
1071282,48229
1071697,50635
1072112,61392
1072529,78485
1072944,96402
1073360,109907
1073774,119167
1074191,128710
1074607,140538
1075022,156377
1075437,168307
1075853,162036
1076269,139856
1076685,109065
1077100,84804
1077516,72944
1077931,71605
1078347,73103
1078763,70973
1079178,64476
1079594,58591
1080009,55490
1080425,55644
1080841,58872
1081255,64256
1081672,71493
1082087,79514
1082503,86946
1082918,88678
1083334,82815
1083750,73463
1084165,64558
1084581,59656
1084997,59200
1085412,61489
1085828,64799
1086243,67348
1086659,67268
1087075,65051
1087490,63583
1087906,64977
1088321,70686
1088736,77419
1089153,81361
1089568,80352
1089984,74773
1090399,66262
1090815,56922
1091231,50066
1091646,46467
1092062,46040
1092477,46895
1092893,48782
1093309,49944
1093724,49081
1094140,46502
1094554,43406
1094971,41121
1095387,39839
1095802,39485
1096217,39947
1096633,42124
1097049,47142
1097465,54381
1097879,63684
1098296,71830
1098711,75935
1099127,74442
1099543,70774
1099958,68434
1100374,70366
1100789,78102
1101205,91945
1101621,105485
1102036,110470
1102452,104570
1102867,91800
1103283,76750
1103698,66033
1104114,60803
1104530,62158
1104945,70866
1105360,84306
1105777,98785
1106192,110360
1106608,117128
1107023,115157
1107439,104976
1107855,91655
1108270,88011
1108686,106324
1109101,159247
1109517,248439
1109933,353554
1110348,431369
